"Series Key",ELEC.GEN.COW-US-99.M,"Series Key",ELEC.GEN.NG-US-99.M,"Series Key",ELEC.GEN.NUC-US-99.M,"Series Key",ELEC.GEN.HYC-US-99.M,"Series Key",ELEC.GEN.WND-US-99.M
"Series Name","Net generation : coal : United States : all sectors : monthly","Series Name","Net generation : natural gas : United States : all sectors : monthly","Series Name","Net generation : nuclear : United States : all sectors : monthly","Series Name","Net generation : conventional hydroelectric : United States : all sectors : monthly","Series Name","Net generation : wind : United States : all sectors : monthly"
Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours",Units,"thousand megawatthours"
Frequency,M,Frequency,M,Frequency,M,Frequency,M,Frequency,M
"Start Date",200101,"Start Date",200101,"Start Date",200101,"Start Date",200101,"Start Date",200101
"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009,"End Date",202009
Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration",Source,"EIA, U.S. Energy Information Administration"

200705,157513.28116,200705,66469.7005,200705,65024.555,200705,26046.97643,200705,2952.34063
200704,146249.54121,200704,60152.84758,200704,57301.424,200704,23890.58301,200704,3171.70315
200703,159811.07388,200703,56203.82094,200703,64305.153,200703,24163.45595,200703,3047.09243
200702,163602.81256,200702,57622.07125,200702,65224.794,200702,18566.63325,200702,2519.79285
200701,175739.4377,200701,61474.53193,200701,74006.184,200701,26044.71053,200701,2452.31464
200612,173508.95112,200612,56128.18599,200612,70489.681,200612,21595.95122,200612,2471.68958
200611,159439.51728,200611,53439.69272,200611,61392.321,200611,20271.72257,200611,2540.48864
200610,161389.65914,200610,70640.03895,200610,57509.306,200610,17055.17699,200610,2442.12988
200609,161590.35416,200609,72673.34798,200609,66642.327,200609,17201.46086,200609,1879.14378
200608,189454.92967,200608,106591.66595,200608,72016.095,200608,21728.3537,200608,1655.18688
200607,187820.87151,200607,108093.51438,200607,72186.494,200607,25439.39237,200607,1955.06423
200606,169693.4782,200606,81060.20993,200606,68391.472,200606,29757.28409,200606,2051.76563
200605,157009.75508,200605,65585.60534,200605,62775.701,200605,30818.44294,200605,2458.6826
200604,141426.23364,200604,56090.85628,200604,57567.204,200604,28555.68297,200604,2471.76225
200603,161325.11525,200603,54921.74189,200603,63720.849,200603,24624.60881,200603,2358.63174
200602,158616.18891,200602,47408.9894,200602,62615.654,200602,24761.68318,200602,1921.95844
200601,169236.08057,200601,43806.92078,200601,71911.532,200601,27436.65597,200601,2382.63335
200512,177965.17958,200512,53992.60122,200512,71735.067,200512,22141.15675,200512,1827.81389
200511,158797.52701,200511,49440.22594,200511,62912.709,200511,19352.66779,200511,1609.69148
200510,162436.79301,200510,55940.88089,200510,61235.597,200510,18006.36026,200510,1446.18982
